test error,training error,validation error
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9974637681159421,0.9869565217391304
0.997828447339848,0.9971014492753624,0.9869565217391304
0.996742671009772,0.9971014492753624,0.9869565217391304
0.996742671009772,0.9971014492753624,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9963768115942029,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9960144927536232,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9869565217391304
0.996742671009772,0.9956521739130435,0.9858695652173913
0.996742671009772,0.9956521739130435,0.9858695652173913
0.996742671009772,0.9956521739130435,0.9847826086956522
0.996742671009772,0.9956521739130435,0.9826086956521739
0.996742671009772,0.9952898550724638,0.9826086956521739
0.996742671009772,0.9952898550724638,0.9826086956521739
0.996742671009772,0.9952898550724638,0.9815217391304348
0.996742671009772,0.9952898550724638,0.9815217391304348
